Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
51,Venom,856085151,213515506,642569645,2018.csv,2018.0,0.24940919224050412,0.7505908077594958
52,Thor: Ragnarok,853977126,315058289,538918837,2017.csv,2017.0,0.36893059475225337,0.6310694052477467
53,Guardians of the Galaxy Vol. 3,845555777,358995815,486559962,2023.csv,2023.0,0.4245678697550901,0.5754321302449099
54,Wonder Woman,822963408,412563408,410400000,2017.csv,2017.0,0.501314401089386,0.49868559891061404
55,"Hi, Mom",822009764,0,822009764,2021.csv,2021.0,0.0,1.0
56,Fantastic Beasts and Where to Find Them,816037575,234037575,582000000,2016.csv,2016.0,0.2867975472820599,0.7132024527179401
57,Coco,807816196,210460015,597356181,2017.csv,2017.0,0.2605295809147159,0.7394704190852841
58,Jumanji: The Next Level,801693929,320314960,481378969,2019.csv,2019.0,0.39954769321946554,0.6004523067805344
59,Pirates of the Caribbean: Dead Men Tell No Tales,794861794,172558876,622302918,2017.csv,2017.0,0.21709293024593404,0.782907069754066
60,Mission: Impossible - Fallout,791115104,220159104,570956000,2018.csv,2018.0,0.27828959766643513,0.7217104023335649
61,Deadpool,782612155,363070709,419541446,2016.csv,2016.0,0.463921633059737,0.536078366940263
62,No Time to Die,774153007,160891007,613262000,2021.csv,2021.0,0.20782843384344046,0.7921715661565596
63,Guardians of the Galaxy,772776600,333176600,439600000,2014.csv,2014.0,0.4311421955581988,0.5688578044418011
64,The Batman,772245583,369345583,402900000,2022.csv,2022.0,0.4782747757069398,0.5217252242930601
65,Thor: Love and Thunder,760928081,343256830,417671251,2022.csv,2022.0,0.4511028552775936,0.5488971447224065
66,Fast & Furious Presents: Hobbs & Shaw,760732926,173956935,586775991,2019.csv,2019.0,0.22867017984180166,0.7713298201581983
67,Maleficent,758410378,241410378,517000000,2014.csv,2014.0,0.31831101604466705,0.681688983955333
68,The Hunger Games: Mockingjay - Part 1,755356711,337135885,418220826,2014.csv,2014.0,0.44632672231596815,0.5536732776840319
69,Suicide Squad,749200054,325100054,424100000,2016.csv,2016.0,0.43392956562707347,0.5660704343729265
70,X-Men: Days of Future Past,746045700,233921534,512124166,2014.csv,2014.0,0.3135485319465014,0.6864514680534985
71,Deadpool 2,734546611,318491426,416055185,2018.csv,2018.0,0.43358912998919275,0.5664108700108073
72,F9: The Fast Saga,726229501,173005945,553223556,2021.csv,2021.0,0.23822489276705933,0.7617751072329407
73,Ne Zha,726063471,3695533,722367938,2019.csv,2019.0,0.005089820859476899,0.9949101791405232
74,Captain America: The Winter Soldier,714421503,259766572,454654931,2014.csv,2014.0,0.3636040781376089,0.6363959218623911
75,Dawn of the Planet of the Apes,710644566,208545589,502098977,2014.csv,2014.0,0.29345976734028806,0.7065402326597119
76,The Amazing Spider-Man 2,708982323,202853933,506128390,2014.csv,2014.0,0.28611987410580336,0.7138801258941967
77,Fast X,704875015,146126015,558749000,2023.csv,2023.0,0.20730769553521486,0.7926923044647851
78,It,702781748,327481748,375300000,2017.csv,2017.0,0.46597930144309896,0.534020698556901
79,The Wandering Earth,699856699,5971413,693885286,2019.csv,2019.0,0.008532336703402763,0.9914676632965972
80,Spider-Man: Across the Spider-Verse,690615475,381311319,309304156,2023.csv,2023.0,0.5521326017202265,0.44786739827977357
81,Detective Chinatown 3,686257563,0,686257563,2021.csv,2021.0,0.0,1.0
82,Mission: Impossible - Rogue Nation,682714267,195042377,487671890,2015.csv,2015.0,0.2856866868434727,0.7143133131565274
83,Interstellar,681070397,188020017,493050380,2014.csv,2014.0,0.27606546669506765,0.7239345333049324
